Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Date
1999,Qtr 1,1,7,India,Antonov,Antonov An 32 Transportk2673,new delhi india,Force Air Indian - Military,3.0,19.0,19.0,1999-01-07
1999,Qtr 1,1,18,Unknown,Douglas,Douglas Dc 3C (C,near tame colombia,Colombia ALIANSA,8.0,8.0,8.0,1999-01-18
1999,Qtr 1,1,19,Canada,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300C,davis inlet newfoundland,Canada Provincial Airlines,0.0,1.0,2.0,1999-01-19
1999,Qtr 2,1,7,Brazil,Lear jet,Learjet 24Dpt Lem,ribeirao preto brazil,Aéreo Táxi Manacá,0.0,5.0,5.0,1999-01-07
1999,Qtr 2,1,7,Unknown,Boeing,Boeing 737 4Q8Tc,near ceyhan turkey,(THY) Airlines Turkish,0.0,6.0,6.0,1999-01-07
1999,Qtr 2,1,8,Unknown,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300Hk,near malaga colombia,Aerotaca,0.0,5.0,5.0,1999-01-08
1999,Qtr 2,1,15,China,McDonnell Douglas,Mcdonnell Douglas Md 11Hl,shanghi china,Air Korean,0.0,3.0,3.0,1999-01-15
1999,Qtr 2,1,8,Unknown,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300Yj,off port vila vanuatu,Vanair,0.0,7.0,12.0,1999-01-08
1999,Qtr 2,1,24,Unknown,De Havilland,De Havilland Canada Dhc 4Am21,kuching malaysia,Force Air Malaysian - Military,0.0,5.0,5.0,1999-01-24
1999,Qtr 2,1,29,Unknown,LET,Let 410Uvp E5Y,ol kiombo kenya,Services Air Malindi,0.0,2.0,2.0,1999-01-29
1999,Qtr 2,1,1,United States,McDonnell Douglas,Mcdonnell Douglas Md 82N215Aa,little rock arkansas,Airlines American,0.0,11.0,145.0,1999-01-01
1999,Qtr 2,1,3,Unknown,Antonov,Antonov 32,near khartoum sudan,Force Air Sudan - Military,0.0,50.0,50.0,1999-01-03
1999,Qtr 2,1,9,United States,Eurocopter,Eurocopter As 350Ban6099S,juneau alaska,Inc. Helicopters Coastal - Taxi Air,0.0,7.0,7.0,1999-01-09
1999,Qtr 2,1,9,Unknown,Britten,Britten Norman Bn,coron philippines,Airways Pacific,0.0,1.0,1.0,1999-01-09
1999,Qtr 2,1,17,Unknown,Embraer,Embraer 110P2 Bandeirantep2 Alx,goroka papua,GuineaAirlink New,0.0,17.0,17.0,1999-01-17
1999,Qtr 2,1,25,Unknown,De Havilland,De Havilland Canada Dhc 3 Otterc,long haul lake manatoba,Canada Blue Water Aviation Services,0.0,1.0,2.0,1999-01-25
1999,Qtr 3,1,1,Unknown,Antonov,Antonov 12Btn Afr,luzamba angola,Savanair,0.0,1.0,5.0,1999-01-01
1999,Qtr 3,1,2,Unknown,Fokker,Fokker F 27 Friendship 600Xy,sittwe myanmar,Airways Myanmar,0.0,8.0,8.0,1999-01-02
1999,Qtr 3,1,4,Unknown,Douglas,Douglas Dc 6Ahk,villavicencio colombia,Colombia LANC,0.0,5.0,18.0,1999-01-04
1999,Qtr 3,1,7,Unknown,Boeing,Boeing 727 243Fvt,near kathmandu nepal,Airlines Cargo Lufthansa,0.0,5.0,5.0,1999-01-07
1999,Qtr 3,1,9,Unknown,Hawker,Hawker Siddeley Hs 125Xa,toluca  mexico,Express Jet Aero,0.0,4.0,4.0,1999-01-09
